periodo,unidad_id,area_id,horas_programadas,horas_ausencia,casos_incapacidad,dias_incapacidad
2024-08,U01,A01,82560.0,3559.2,13,93
2024-08,U01,A03,28800.0,959.2,4,28
2024-08,U01,A04,34944.0,1160.2,6,45
2024-08,U01,A05,5984.0,222.1,1,7
2024-08,U01,A06,8272.0,336.1,1,6
2024-08,U02,A02,71232.0,1790.6,9,61
2024-08,U02,A03,32256.0,927.9,4,24
2024-08,U02,A04,32256.0,972.1,4,16
2024-08,U02,A05,5104.0,147.1,0,0
2024-08,U02,A06,7040.0,198.1,0,0
2024-08,U03,A02,88896.0,3209.8,10,50
2024-08,U03,A03,40512.0,1453.3,6,26
2024-08,U03,A04,40704.0,1294.7,6,42
2024-08,U03,A05,6512.0,210.9,1,8
2024-08,U03,A06,9152.0,331.0,1,7
2024-08,U04,A03,56064.0,1254.5,4,28
2024-08,U04,A04,25152.0,514.9,3,20
2024-08,U04,A05,3696.0,96.1,0,0
2024-08,U04,A06,5808.0,155.8,0,0
2024-08,U05,A05,1936.0,33.8,0,0
2024-08,U05,A06,16720.0,270.7,1,6
2024-09,U01,A01,81216.0,3346.7,12,79
2024-09,U01,A03,29568.0,1134.2,5,24
2024-09,U01,A04,36096.0,1654.4,5,30
2024-09,U01,A05,5984.0,279.4,0,0
2024-09,U01,A06,8272.0,389.3,1,5
2024-09,U02,A02,73920.0,2313.7,9,62
2024-09,U02,A03,32640.0,848.1,3,18
2024-09,U02,A04,33792.0,1125.8,4,19
2024-09,U02,A05,5104.0,162.8,0,0
2024-09,U02,A06,7216.0,223.5,0,0
2024-09,U03,A02,88128.0,3040.9,11,80
2024-09,U03,A03,39168.0,1274.3,5,24
2024-09,U03,A04,41856.0,1624.8,6,24
2024-09,U03,A05,6688.0,240.7,1,6
2024-09,U03,A06,9328.0,337.8,1,3
2024-09,U04,A03,57024.0,1616.9,6,34
2024-09,U04,A04,24768.0,690.4,3,24
2024-09,U04,A05,3696.0,87.1,0,0
2024-09,U04,A06,5808.0,154.8,0,0
2024-09,U05,A05,1936.0,42.2,0,0
2024-09,U05,A06,16896.0,375.9,1,8
2024-10,U01,A01,79872.0,3984.9,10,39
2024-10,U01,A03,28800.0,1367.0,4,20
2024-10,U01,A04,35712.0,1692.6,6,35
2024-10,U01,A05,5808.0,284.2,1,7
2024-10,U01,A06,8624.0,400.1,1,5
2024-10,U02,A02,76224.0,2096.1,10,41
2024-10,U02,A03,31488.0,856.9,3,20
2024-10,U02,A04,33984.0,1098.0,4,16
2024-10,U02,A05,5280.0,149.1,0,0
2024-10,U02,A06,7216.0,209.7,0,0
2024-10,U03,A02,87168.0,3398.9,11,38
2024-10,U03,A03,40128.0,1694.9,6,22
2024-10,U03,A04,41088.0,1480.7,5,26
2024-10,U03,A05,6688.0,290.6,1,4
2024-10,U03,A06,9152.0,318.4,1,7
2024-10,U04,A03,56832.0,1346.3,7,40
2024-10,U04,A04,25536.0,775.2,2,9
2024-10,U04,A05,3872.0,95.5,0,0
2024-10,U04,A06,5984.0,171.7,0,0
2024-10,U05,A05,2112.0,48.0,0,0
2024-10,U05,A06,16720.0,348.2,1,6
2024-11,U01,A01,84672.0,4167.0,11,57
2024-11,U01,A03,29376.0,1376.9,4,24
2024-11,U01,A04,36864.0,1773.5,6,45
2024-11,U01,A05,5984.0,238.9,0,0
2024-11,U01,A06,8448.0,382.1,1,5
2024-11,U02,A02,73920.0,2160.6,7,48
2024-11,U02,A03,32448.0,1011.2,4,14
2024-11,U02,A04,32640.0,973.4,4,18
2024-11,U02,A05,5456.0,168.9,0,0
2024-11,U02,A06,7392.0,245.0,0,0
2024-11,U03,A02,89280.0,3571.9,11,38
2024-11,U03,A03,39936.0,1436.6,6,37
2024-11,U03,A04,41664.0,1641.6,5,33
2024-11,U03,A05,6688.0,244.7,1,8
2024-11,U03,A06,9328.0,354.0,1,7
2024-11,U04,A03,57408.0,1539.5,6,47
2024-11,U04,A04,25728.0,698.5,2,7
2024-11,U04,A05,3872.0,99.0,0,0
2024-11,U04,A06,5984.0,174.0,0,0
2024-11,U05,A05,2112.0,38.6,0,0
2024-11,U05,A06,17424.0,386.5,1,6
2024-12,U01,A01,81984.0,3042.1,11,69
2024-12,U01,A03,29184.0,1287.1,5,22
2024-12,U01,A04,37056.0,1460.4,5,33
2024-12,U01,A05,6160.0,270.5,1,6
2024-12,U01,A06,8800.0,368.8,1,4
2024-12,U02,A02,76032.0,2339.3,8,48
2024-12,U02,A03,32064.0,976.5,4,18
2024-12,U02,A04,33600.0,909.0,4,19
2024-12,U02,A05,5456.0,168.0,0,0
2024-12,U02,A06,7216.0,193.5,1,4
2024-12,U03,A02,86784.0,2750.5,10,63
2024-12,U03,A03,39936.0,1297.1,5,18
2024-12,U03,A04,40320.0,1389.7,5,18
2024-12,U03,A05,6512.0,209.5,1,6
2024-12,U03,A06,9504.0,332.6,1,6
2024-12,U04,A03,58176.0,1303.9,6,48
2024-12,U04,A04,25728.0,590.1,3,20
2024-12,U04,A05,3872.0,90.0,0,0
2024-12,U04,A06,5984.0,161.7,0,0
2024-12,U05,A05,2112.0,38.9,0,0
2024-12,U05,A06,17072.0,319.3,1,6
2025-01,U01,A01,80064.0,3122.5,16,106
2025-01,U01,A03,28608.0,997.2,5,20
2025-01,U01,A04,36096.0,1254.0,7,27
2025-01,U01,A05,5808.0,189.7,1,3
2025-01,U01,A06,8800.0,294.8,1,3
2025-01,U02,A02,75264.0,1956.3,8,63
2025-01,U02,A03,32832.0,764.1,4,29
2025-01,U02,A04,32256.0,919.5,3,15
2025-01,U02,A05,5280.0,152.6,0,0
2025-01,U02,A06,7392.0,186.6,0,0
2025-01,U03,A02,88512.0,2608.5,11,85
2025-01,U03,A03,39360.0,1140.1,7,57
2025-01,U03,A04,40320.0,1194.8,5,20
2025-01,U03,A05,6864.0,190.1,0,0
2025-01,U03,A06,9504.0,286.5,1,3
2025-01,U04,A03,56832.0,1431.5,6,40
2025-01,U04,A04,25152.0,630.0,3,19
2025-01,U04,A05,3872.0,87.1,0,0
2025-01,U04,A06,5632.0,119.3,0,0
2025-01,U05,A05,2112.0,35.9,0,0
2025-01,U05,A06,16720.0,294.2,1,6
2025-02,U01,A01,84096.0,2615.7,14,92
2025-02,U01,A03,28416.0,880.6,5,34
2025-02,U01,A04,36864.0,1062.0,7,29
2025-02,U01,A05,5984.0,202.6,1,3
2025-02,U01,A06,8624.0,276.1,1,6
2025-02,U02,A02,74496.0,1526.5,9,66
2025-02,U02,A03,32448.0,767.0,4,22
2025-02,U02,A04,33600.0,701.2,4,15
2025-02,U02,A05,5104.0,119.9,0,0
2025-02,U02,A06,7040.0,145.9,1,6
2025-02,U03,A02,88704.0,2418.6,16,128
2025-02,U03,A03,40896.0,1271.1,6,29
2025-02,U03,A04,41664.0,1031.6,5,23
2025-02,U03,A05,6688.0,204.5,1,8
2025-02,U03,A06,8976.0,222.2,1,5
2025-02,U04,A03,58944.0,1051.1,6,32
2025-02,U04,A04,25920.0,576.7,2,13
2025-02,U04,A05,3872.0,82.1,0,0
2025-02,U04,A06,5632.0,99.7,0,0
2025-02,U05,A05,2112.0,33.9,0,0
2025-02,U05,A06,17600.0,282.3,1,5
2025-03,U01,A01,82944.0,2411.0,16,115
2025-03,U01,A03,29184.0,715.5,4,19
2025-03,U01,A04,35712.0,1000.2,6,36
2025-03,U01,A05,5984.0,162.9,1,6
2025-03,U01,A06,8272.0,236.9,1,5
2025-03,U02,A02,72000.0,1422.6,8,29
2025-03,U02,A03,32064.0,701.7,3,22
2025-03,U02,A04,33024.0,675.7,3,21
2025-03,U02,A05,5104.0,110.5,0,0
2025-03,U02,A06,7216.0,131.6,1,7
2025-03,U03,A02,85632.0,2006.9,13,90
2025-03,U03,A03,38976.0,839.2,5,36
2025-03,U03,A04,39744.0,1080.8,5,33
2025-03,U03,A05,6688.0,185.4,1,7
2025-03,U03,A06,8976.0,243.0,1,4
2025-03,U04,A03,58560.0,1116.0,5,28
2025-03,U04,A04,25728.0,428.8,2,15
2025-03,U04,A05,3872.0,73.5,0,0
2025-03,U04,A06,5808.0,91.0,0,0
2025-03,U05,A05,2112.0,30.3,0,0
2025-03,U05,A06,17424.0,205.6,1,6
2025-04,U01,A01,80832.0,2319.3,13,64
2025-04,U01,A03,28416.0,743.1,4,22
2025-04,U01,A04,35136.0,835.3,6,33
2025-04,U01,A05,5984.0,146.3,1,4
2025-04,U01,A06,8272.0,216.1,1,7
2025-04,U02,A02,73920.0,1347.2,8,27
2025-04,U02,A03,31680.0,589.2,3,17
2025-04,U02,A04,33024.0,551.2,4,20
2025-04,U02,A05,5280.0,93.8,0,0
2025-04,U02,A06,7040.0,125.0,1,6
2025-04,U03,A02,87744.0,2286.4,11,80
2025-04,U03,A03,40512.0,966.8,7,56
2025-04,U03,A04,40704.0,1057.5,6,48
2025-04,U03,A05,6688.0,160.5,0,0
2025-04,U03,A06,8976.0,195.1,1,3
2025-04,U04,A03,58560.0,847.0,7,36
2025-04,U04,A04,24960.0,398.2,2,7
2025-04,U04,A05,3872.0,66.0,0,0
2025-04,U04,A06,5632.0,80.3,0,0
2025-04,U05,A05,1936.0,27.6,0,0
2025-04,U05,A06,17248.0,242.2,1,5
2025-05,U01,A01,81984.0,2186.4,14,108
2025-05,U01,A03,28800.0,812.7,5,27
2025-05,U01,A04,35712.0,872.2,6,27
2025-05,U01,A05,5984.0,168.2,1,5
2025-05,U01,A06,8272.0,197.6,1,6
2025-05,U02,A02,74496.0,1515.2,7,51
2025-05,U02,A03,32064.0,556.8,3,22
