periodo,unidad_id,area_id,horas_plan,horas_real,participantes,dc3_requeridos,dc3_emitidos,inversion_mxn,competencias_criticas_req,competencias_criticas_ok
2024-08,U01,A01,1118.0,1135.7,193,129,124,426393.0,68,63
2024-08,U01,A03,390.0,392.8,67,45,42,119095.0,24,22
2024-08,U01,A04,473.2,477.1,81,54,51,165018.0,29,27
2024-08,U01,A05,57.8,53.6,15,10,9,19625.0,2,1
2024-08,U01,A06,79.9,76.4,21,14,13,30674.0,3,2
2024-08,U02,A02,964.6,1037.0,166,111,110,326120.0,59,56
2024-08,U02,A03,436.8,433.0,75,50,48,132151.0,26,25
2024-08,U02,A04,436.8,411.1,75,50,49,111606.0,26,25
2024-08,U02,A05,49.3,49.8,13,8,7,20009.0,2,1
2024-08,U02,A06,68.0,70.5,18,12,11,26444.0,2,1
2024-08,U03,A02,1203.8,1137.9,208,138,135,354279.0,74,70
2024-08,U03,A03,548.6,575.9,94,63,61,218640.0,33,30
2024-08,U03,A04,551.2,522.3,95,63,59,191759.0,33,31
2024-08,U03,A05,62.9,60.3,16,11,10,20641.0,2,1
2024-08,U03,A06,88.4,90.5,23,15,14,28592.0,3,2
2024-08,U04,A03,759.2,830.5,131,87,86,220240.0,46,45
2024-08,U04,A04,340.6,368.6,58,39,38,103042.0,20,19
2024-08,U04,A05,35.7,33.1,9,6,5,10038.0,2,1
2024-08,U04,A06,56.1,61.7,14,9,8,24521.0,2,1
2024-08,U05,A05,18.7,19.6,4,3,2,7894.0,2,1
2024-08,U05,A06,161.5,173.3,42,28,27,62860.0,6,5
2024-09,U01,A01,1099.8,1076.6,190,126,118,313364.0,67,63
2024-09,U01,A03,400.4,420.4,69,46,44,163661.0,24,22
2024-09,U01,A04,488.8,471.8,84,56,53,130596.0,30,28
2024-09,U01,A05,57.8,57.9,15,10,9,17734.0,2,1
2024-09,U01,A06,79.9,84.9,21,14,13,33185.0,3,2
2024-09,U02,A02,1001.0,1046.6,173,115,114,408329.0,61,58
2024-09,U02,A03,442.0,457.1,76,51,50,133293.0,27,25
2024-09,U02,A04,457.6,494.1,79,52,51,199880.0,28,27
2024-09,U02,A05,49.3,51.1,13,8,7,16213.0,2,1
2024-09,U02,A06,69.7,65.7,18,12,11,18002.0,2,1
2024-09,U03,A02,1193.4,1247.2,206,137,132,434561.0,73,68
2024-09,U03,A03,530.4,567.9,91,61,58,185648.0,32,30
2024-09,U03,A04,566.8,531.1,98,65,63,194080.0,34,32
2024-09,U03,A05,64.6,59.8,17,11,10,21638.0,2,1
2024-09,U03,A06,90.1,100.7,23,15,14,26618.0,3,2
2024-09,U04,A03,772.2,797.5,133,89,88,263392.0,47,46
2024-09,U04,A04,335.4,361.1,58,38,37,98965.0,20,19
2024-09,U04,A05,35.7,34.1,9,6,5,11408.0,2,1
2024-09,U04,A06,56.1,52.7,14,9,8,20637.0,2,1
2024-09,U05,A05,18.7,17.9,4,3,2,5243.0,2,1
2024-09,U05,A06,163.2,155.0,43,28,27,58749.0,6,5
2024-10,U01,A01,1081.6,1123.0,187,124,116,455967.0,66,62
2024-10,U01,A03,390.0,409.1,67,45,42,165620.0,24,22
2024-10,U01,A04,483.6,487.4,83,55,51,187169.0,29,26
2024-10,U01,A05,56.1,56.2,14,9,8,17534.0,2,1
2024-10,U01,A06,83.3,73.0,22,14,13,28411.0,3,2
2024-10,U02,A02,1032.2,1077.3,178,119,117,387836.0,63,61
2024-10,U02,A03,426.4,455.2,73,49,47,174430.0,26,25
2024-10,U02,A04,460.2,487.1,79,53,51,135517.0,28,27
2024-10,U02,A05,51.0,49.6,13,9,8,16419.0,2,1
2024-10,U02,A06,69.7,68.2,18,12,11,20521.0,2,1
2024-10,U03,A02,1180.4,1062.2,204,136,129,358391.0,72,67
2024-10,U03,A03,543.4,565.1,94,62,59,169786.0,33,31
2024-10,U03,A04,556.4,517.5,96,64,62,186902.0,34,31
2024-10,U03,A05,64.6,65.4,17,11,10,18062.0,2,1
2024-10,U03,A06,88.4,94.8,23,15,14,36675.0,3,2
2024-10,U04,A03,769.6,765.1,133,88,87,267636.0,47,46
2024-10,U04,A04,345.8,380.7,59,39,38,138904.0,21,20
2024-10,U04,A05,37.4,37.5,9,6,5,12612.0,2,1
2024-10,U04,A06,57.8,55.2,15,10,9,21330.0,2,1
2024-10,U05,A05,20.4,21.1,5,3,2,7094.0,2,1
2024-10,U05,A06,161.5,153.1,42,28,27,41642.0,6,5
2024-11,U01,A01,1146.6,1025.6,198,132,124,373195.0,70,64
2024-11,U01,A03,397.8,397.1,68,45,42,134065.0,24,22
2024-11,U01,A04,499.2,422.6,86,57,54,157688.0,30,27
2024-11,U01,A05,57.8,56.9,15,10,9,21801.0,2,1
2024-11,U01,A06,81.6,76.4,21,14,13,29729.0,3,2
2024-11,U02,A02,1001.0,888.0,173,115,114,270670.0,61,59
2024-11,U02,A03,439.4,423.4,76,50,49,154305.0,27,26
2024-11,U02,A04,442.0,422.3,76,51,50,138198.0,27,26
2024-11,U02,A05,52.7,54.8,13,9,8,17030.0,2,1
2024-11,U02,A06,71.4,69.8,18,12,11,19917.0,2,1
2024-11,U03,A02,1209.0,1017.8,209,139,133,289137.0,74,69
2024-11,U03,A03,540.8,533.4,93,62,60,183417.0,33,30
2024-11,U03,A04,564.2,546.7,97,65,61,174542.0,34,32
2024-11,U03,A05,64.6,56.0,17,11,10,17321.0,2,1
2024-11,U03,A06,90.1,89.0,23,15,14,27178.0,3,2
2024-11,U04,A03,777.4,780.3,134,89,88,316271.0,47,46
2024-11,U04,A04,348.4,337.7,60,40,39,92516.0,21,20
2024-11,U04,A05,37.4,37.5,9,6,5,15559.0,2,1
2024-11,U04,A06,57.8,55.2,15,10,9,15018.0,2,1
2024-11,U05,A05,20.4,18.7,5,3,2,7705.0,2,1
2024-11,U05,A06,168.3,160.6,44,29,28,47162.0,6,5
2024-12,U01,A01,1110.2,919.8,192,128,120,291899.0,68,62
2024-12,U01,A03,395.2,325.4,68,45,42,110293.0,24,22
2024-12,U01,A04,501.8,478.4,86,57,53,155442.0,30,27
2024-12,U01,A05,59.5,53.6,15,10,9,15110.0,2,1
2024-12,U01,A06,85.0,71.1,22,15,14,19418.0,3,2
2024-12,U02,A02,1029.6,1030.8,178,118,116,361899.0,63,60
2024-12,U02,A03,434.2,414.7,75,50,49,158443.0,26,25
2024-12,U02,A04,455.0,383.8,78,52,51,155779.0,28,26
2024-12,U02,A05,52.7,46.2,13,9,8,14787.0,2,1
2024-12,U02,A06,69.7,66.3,18,12,11,20262.0,2,1
2024-12,U03,A02,1175.2,1020.6,203,135,129,347846.0,72,67
2024-12,U03,A03,540.8,505.0,93,62,60,198503.0,33,31
2024-12,U03,A04,546.0,492.3,94,63,60,139787.0,33,30
2024-12,U03,A05,62.9,54.3,16,11,10,16363.0,2,1
2024-12,U03,A06,91.8,89.9,24,16,15,26042.0,3,2
2024-12,U04,A03,787.8,674.1,136,90,89,202382.0,48,47
2024-12,U04,A04,348.4,298.6,60,40,39,95844.0,21,20
2024-12,U04,A05,37.4,34.0,9,6,5,11455.0,2,1
2024-12,U04,A06,57.8,54.8,15,10,9,20022.0,2,1
2024-12,U05,A05,20.4,20.2,5,3,2,6200.0,2,1
2024-12,U05,A06,164.9,162.4,43,29,28,49535.0,6,5
2025-01,U01,A01,1084.2,1020.1,187,125,117,376623.0,66,62
2025-01,U01,A03,387.4,313.1,67,44,42,130465.0,23,21
2025-01,U01,A04,488.8,441.9,84,56,53,130743.0,30,27
2025-01,U01,A05,56.1,53.0,14,9,8,13900.0,2,1
2025-01,U01,A06,85.0,78.7,22,15,14,27847.0,3,2
2025-01,U02,A02,1019.2,944.1,176,117,116,287631.0,62,60
2025-01,U02,A03,444.6,435.3,76,51,50,116411.0,27,25
2025-01,U02,A04,436.8,383.1,75,50,49,134541.0,26,25
2025-01,U02,A05,51.0,48.4,13,9,8,17151.0,2,1
2025-01,U02,A06,71.4,70.4,18,12,11,19736.0,2,1
2025-01,U03,A02,1198.6,1128.2,207,138,131,306153.0,73,70
2025-01,U03,A03,533.0,419.5,92,61,57,167701.0,32,31
2025-01,U03,A04,546.0,478.7,94,63,60,176258.0,33,31
2025-01,U03,A05,66.3,60.4,17,11,10,24942.0,2,1
2025-01,U03,A06,91.8,78.7,24,16,15,32898.0,3,2
2025-01,U04,A03,769.6,696.0,133,88,87,240920.0,47,46
2025-01,U04,A04,340.6,289.6,58,39,38,81519.0,20,19
2025-01,U04,A05,37.4,33.2,9,6,5,8849.0,2,1
2025-01,U04,A06,54.4,51.9,14,9,8,13667.0,2,1
2025-01,U05,A05,20.4,19.4,5,3,2,6520.0,2,1
2025-01,U05,A06,161.5,155.9,42,28,27,59036.0,6,5
2025-02,U01,A01,1138.8,1065.0,197,131,124,330089.0,70,64
2025-02,U01,A03,384.8,345.1,66,44,42,110594.0,23,21
2025-02,U01,A04,499.2,461.2,86,57,53,171014.0,30,28
2025-02,U01,A05,57.8,50.9,15,10,9,19003.0,2,1
2025-02,U01,A06,83.3,70.5,22,14,13,19863.0,3,2
2025-02,U02,A02,1008.8,846.4,174,116,115,295674.0,62,61
2025-02,U02,A03,439.4,415.1,76,50,49,164155.0,27,26
2025-02,U02,A04,455.0,405.0,78,52,51,121375.0,28,26
2025-02,U02,A05,49.3,41.4,13,8,7,16061.0,2,1
2025-02,U02,A06,68.0,60.0,18,12,11,16966.0,2,1
2025-02,U03,A02,1201.2,993.1,207,138,130,288846.0,73,70
2025-02,U03,A03,553.8,529.6,95,63,60,195216.0,34,32
2025-02,U03,A04,564.2,508.9,97,65,63,205771.0,34,32
2025-02,U03,A05,64.6,61.1,17,11,10,19058.0,2,1
2025-02,U03,A06,86.7,78.2,22,15,14,29049.0,3,2
2025-02,U04,A03,798.2,734.3,138,92,91,212631.0,49,48
2025-02,U04,A04,351.0,308.6,60,40,39,110610.0,21,20
2025-02,U04,A05,37.4,32.4,9,6,5,10266.0,2,1
2025-02,U04,A06,54.4,53.7,14,9,8,17055.0,2,1
2025-02,U05,A05,20.4,17.4,5,3,2,5664.0,2,1
2025-02,U05,A06,170.0,174.3,45,30,29,54589.0,7,6
2025-03,U01,A01,1123.2,1034.1,194,129,120,392149.0,69,65
2025-03,U01,A03,395.2,365.7,68,45,43,130585.0,24,22
2025-03,U01,A04,483.6,469.4,83,55,52,175171.0,29,26
2025-03,U01,A05,57.8,54.3,15,10,9,21153.0,2,1
2025-03,U01,A06,79.9,77.3,21,14,13,21401.0,3,2
2025-03,U02,A02,975.0,848.0,168,112,109,277574.0,60,58
2025-03,U02,A03,434.2,392.3,75,50,49,101364.0,26,24
2025-03,U02,A04,447.2,395.7,77,51,49,102966.0,27,26
2025-03,U02,A05,49.3,43.1,13,8,7,13702.0,2,1
2025-03,U02,A06,69.7,68.5,18,12,11,27109.0,2,1
2025-03,U03,A02,1159.6,992.4,200,133,129,370743.0,71,67
2025-03,U03,A03,527.8,508.9,91,60,58,206255.0,32,30
2025-03,U03,A04,538.2,446.6,93,62,59,135401.0,33,31
2025-03,U03,A05,64.6,58.9,17,11,10,16272.0,2,1
2025-03,U03,A06,86.7,82.8,22,15,14,21855.0,3,2
2025-03,U04,A03,793.0,752.2,137,91,90,301457.0,48,47
2025-03,U04,A04,348.4,320.8,60,40,39,95749.0,21,20
2025-03,U04,A05,37.4,33.6,9,6,5,13278.0,2,1
2025-03,U04,A06,56.1,50.3,14,9,8,17088.0,2,1
2025-03,U05,A05,20.4,18.7,5,3,2,6341.0,2,1
2025-03,U05,A06,168.3,175.1,44,29,28,66065.0,6,5
2025-04,U01,A01,1094.6,961.7,189,126,121,305773.0,67,62
2025-04,U01,A03,384.8,391.9,66,44,41,128040.0,23,21
2025-04,U01,A04,475.8,446.7,82,54,50,182937.0,29,26
2025-04,U01,A05,57.8,58.7,15,10,9,22466.0,2,1
2025-04,U01,A06,79.9,72.0,21,14,13,28771.0,3,2
2025-04,U02,A02,1001.0,892.6,173,115,111,264069.0,61,59
2025-04,U02,A03,429.0,393.7,74,49,48,151346.0,26,25
2025-04,U02,A04,447.2,483.9,77,51,50,161024.0,27,26
2025-04,U02,A05,51.0,48.2,13,9,8,16087.0,2,1
2025-04,U02,A06,68.0,71.3,18,12,11,19675.0,2,1
2025-04,U03,A02,1188.2,1043.6,205,137,132,377455.0,73,69
2025-04,U03,A03,548.6,489.9,94,63,60,147397.0,33,31
2025-04,U03,A04,551.2,571.9,95,63,61,209047.0,33,30
2025-04,U03,A05,64.6,65.3,17,11,10,23412.0,2,1
2025-04,U03,A06,86.7,88.1,22,15,14,30903.0,3,2
2025-04,U04,A03,793.0,812.7,137,91,90,280750.0,48,47
2025-04,U04,A04,338.0,321.5,58,39,38,92106.0,20,19
2025-04,U04,A05,37.4,37.7,9,6,5,11013.0,2,1
2025-04,U04,A06,54.4,53.0,14,9,8,16497.0,2,1
2025-04,U05,A05,18.7,19.9,4,3,2,5688.0,2,1
2025-04,U05,A06,166.6,170.4,44,29,28,66186.0,6,5
2025-05,U01,A01,1110.2,1012.9,192,128,119,262609.0,68,62
2025-05,U01,A03,390.0,410.6,67,45,42,127563.0,24,22
2025-05,U01,A04,483.6,527.2,83,55,52,189562.0,29,27
2025-05,U01,A05,57.8,57.6,15,10,9,15588.0,2,1
2025-05,U01,A06,79.9,79.0,21,14,13,25467.0,3,2
2025-05,U02,A02,1008.8,1075.2,174,116,112,347757.0,62,60
2025-05,U02,A03,434.2,445.9,75,50,49,123185.0,26,25
2025-05,U02,A04,434.2,436.2,75,50,49,113435.0,26,24
2025-05,U02,A05,49.3,51.0,13,8,7,13239.0,2,1
2025-05,U02,A06,71.4,67.4,18,12,11,17223.0,2,1
2025-05,U03,A02,1162.2,1190.2,201,134,131,331900.0,71,66
2025-05,U03,A03,533.0,506.5,92,61,58,164762.0,32,30
2025-05,U03,A04,553.8,568.4,95,63,60,218224.0,34,32
2025-05,U03,A05,62.9,63.3,16,11,10,17623.0,2,1
2025-05,U03,A06,86.7,87.5,22,15,14,32134.0,3,2
2025-05,U04,A03,772.2,825.3,133,89,88,274807.0,47,46
2025-05,U04,A04,340.6,327.9,58,39,38,118836.0,20,19
2025-05,U04,A05,37.4,37.1,9,6,5,13207.0,2,1
2025-05,U04,A06,54.4,58.1,14,9,8,21728.0,2,1
2025-05,U05,A05,18.7,19.3,4,3,2,7468.0,2,1
2025-05,U05,A06,168.3,156.3,44,29,28,58261.0,6,5
2025-06,U01,A01,1081.6,1129.5,187,124,117,394163.0,66,61
2025-06,U01,A03,384.8,410.8,66,44,42,105912.0,23,21
2025-06,U01,A04,494.0,485.8,85,57,54,175306.0,30,28
2025-06,U01,A05,57.8,64.6,15,10,9,24290.0,2,1
2025-06,U01,A06,83.3,91.0,22,14,13,27490.0,3,2
2025-06,U02,A02,1021.8,1089.5,176,117,113,338569.0,62,59
2025-06,U02,A03,426.4,421.2,73,49,48,118605.0,26,25
2025-06,U02,A04,436.8,479.7,75,50,49,139171.0,26,25
2025-06,U02,A05,52.7,55.7,13,9,8,22147.0,2,1
2025-06,U02,A06,71.4,70.9,18,12,11,26198.0,2,1
2025-06,U03,A02,1211.6,1256.7,209,139,136,523266.0,74,68
2025-06,U03,A03,533.0,547.6,92,61,58,203069.0,32,30
2025-06,U03,A04,564.2,531.5,97,65,63,200291.0,34,32
2025-06,U03,A05,64.6,59.8,17,11,10,24182.0,2,1
2025-06,U03,A06,88.4,86.1,23,15,14,24192.0,3,2
2025-06,U04,A03,785.2,839.2,135,90,89,254953.0,48,47
2025-06,U04,A04,335.4,356.0,58,38,37,128387.0,20,19
2025-06,U04,A05,35.7,38.0,9,6,5,10736.0,2,1
2025-06,U04,A06,57.8,55.5,15,10,9,16093.0,2,1
2025-06,U05,A05,20.4,19.6,5,3,2,6277.0,2,1
2025-06,U05,A06,163.2,171.4,43,28,27,63668.0,6,5
2025-07,U01,A01,1128.4,1256.2,195,130,123,388561.0,69,64
2025-07,U01,A03,408.2,421.7,70,47,44,166881.0,25,23
2025-07,U01,A04,488.8,468.0,84,56,53,190846.0,30,28
2025-07,U01,A05,59.5,66.4,15,10,9,23482.0,2,1
2025-07,U01,A06,81.6,89.1,21,14,13,33477.0,3,2
2025-07,U02,A02,1021.8,963.0,176,117,114,258843.0,62,59
2025-07,U02,A03,429.0,462.4,74,49,48,166791.0,26,25
2025-07,U02,A04,452.4,469.4,78,52,51,173016.0,27,26
2025-07,U02,A05,51.0,54.6,13,9,8,21418.0,2,1
2025-07,U02,A06,71.4,68.3,18,12,11,23764.0,2,1
2025-07,U03,A02,1170.0,1117.0,202,135,132,309252.0,72,69
2025-07,U03,A03,556.4,519.7,96,64,61,158697.0,34,32
2025-07,U03,A04,556.4,561.6,96,64,62,187023.0,34,32
2025-07,U03,A05,64.6,68.4,17,11,10,25561.0,2,1
2025-07,U03,A06,90.1,100.8,23,15,14,34818.0,3,2
2025-07,U04,A03,761.8,840.2,131,87,86,310670.0,46,45
2025-07,U04,A04,338.0,342.1,58,39,38,129558.0,20,19
2025-07,U04,A05,37.4,34.9,9,6,5,12321.0,2,1
2025-07,U04,A06,56.1,55.5,14,9,8,14835.0,2,1
2025-07,U05,A05,20.4,19.2,5,3,2,4993.0,2,1
2025-07,U05,A06,163.2,176.0,43,28,27,62038.0,6,5
2025-08,U01,A01,1110.2,1091.7,192,128,123,381806.0,68,63
2025-08,U01,A03,410.8,420.5,71,47,45,154348.0,25,23
