periodo,unidad_id,area_id,altas,bajas_voluntarias,bajas_involuntarias,bajas_menos_90_dias,vacantes_abiertas,dias_cobertura_prom
2024-08,U01,A01,8,5,3,1,15,32.5
2024-08,U01,A03,2,1,1,0,6,30.5
2024-08,U01,A04,3,2,1,0,11,33.3
2024-08,U01,A05,1,0,1,0,1,24.1
2024-08,U01,A06,1,0,1,0,1,21.2
2024-08,U02,A02,4,2,2,0,23,32.4
2024-08,U02,A03,2,1,1,0,5,28.8
2024-08,U02,A04,2,1,1,0,6,29.7
2024-08,U02,A05,0,0,0,0,0,22.7
2024-08,U02,A06,0,0,0,0,1,22.8
2024-08,U03,A02,6,3,3,0,14,30.2
2024-08,U03,A03,4,3,1,0,6,34.6
2024-08,U03,A04,4,3,1,0,9,30.2
2024-08,U03,A05,0,0,1,0,2,20.6
2024-08,U03,A06,1,0,1,0,1,25.7
2024-08,U04,A03,2,1,1,0,12,35.4
2024-08,U04,A04,1,0,1,0,4,30.9
2024-08,U04,A05,0,0,0,0,1,20.9
2024-08,U04,A06,0,0,0,0,0,22.9
2024-08,U05,A05,0,0,0,0,0,25.1
2024-08,U05,A06,0,0,1,0,4,25.2
2024-09,U01,A01,5,3,3,1,14,28.7
2024-09,U01,A03,2,2,1,0,5,29.5
2024-09,U01,A04,2,1,2,0,6,35.2
2024-09,U01,A05,1,0,1,0,1,22.4
2024-09,U01,A06,1,0,1,0,1,22.7
2024-09,U02,A02,4,3,2,1,13,30.1
2024-09,U02,A03,2,1,1,0,3,28.7
2024-09,U02,A04,2,1,1,0,3,31.6
2024-09,U02,A05,0,0,0,0,0,24.9
2024-09,U02,A06,1,0,1,0,1,20.4
2024-09,U03,A02,8,7,2,1,19,29.9
2024-09,U03,A03,3,3,1,0,9,33.1
2024-09,U03,A04,4,2,2,0,3,29.8
2024-09,U03,A05,1,0,1,0,1,21.2
2024-09,U03,A06,0,0,1,0,1,23.1
2024-09,U04,A03,3,2,1,0,10,30.2
2024-09,U04,A04,1,0,1,0,4,34.4
2024-09,U04,A05,0,0,0,0,0,21.0
2024-09,U04,A06,0,0,0,0,0,20.8
2024-09,U05,A05,0,0,0,0,0,24.2
2024-09,U05,A06,1,0,1,0,3,23.6
2024-10,U01,A01,7,5,2,2,17,29.7
2024-10,U01,A03,2,1,1,0,7,32.0
2024-10,U01,A04,2,2,1,0,7,34.6
2024-10,U01,A05,0,0,0,0,1,25.9
2024-10,U01,A06,1,0,1,0,1,23.3
2024-10,U02,A02,5,3,2,1,5,35.7
2024-10,U02,A03,1,1,1,0,5,32.2
2024-10,U02,A04,2,1,1,0,2,31.2
2024-10,U02,A05,0,0,0,0,0,23.4
2024-10,U02,A06,1,0,1,0,1,23.4
2024-10,U03,A02,9,4,3,1,16,30.1
2024-10,U03,A03,3,2,2,0,7,31.4
2024-10,U03,A04,2,2,1,0,6,35.5
2024-10,U03,A05,1,0,1,0,1,21.0
2024-10,U03,A06,1,0,1,0,2,20.8
2024-10,U04,A03,3,2,1,0,9,29.8
2024-10,U04,A04,0,0,1,0,2,28.7
2024-10,U04,A05,0,0,0,0,0,24.5
2024-10,U04,A06,0,0,0,0,0,25.8
2024-10,U05,A05,0,0,0,0,0,22.8
2024-10,U05,A06,0,0,1,0,3,20.8
2024-11,U01,A01,5,4,2,0,5,31.3
2024-11,U01,A03,2,1,1,0,3,30.0
2024-11,U01,A04,3,2,1,0,5,30.6
2024-11,U01,A05,1,0,1,0,1,22.0
2024-11,U01,A06,1,0,1,0,1,21.1
2024-11,U02,A02,3,3,2,0,14,29.4
2024-11,U02,A03,2,1,1,0,4,28.8
2024-11,U02,A04,1,0,1,0,5,33.0
2024-11,U02,A05,0,0,0,0,0,26.2
2024-11,U02,A06,1,0,1,0,1,25.8
2024-11,U03,A02,4,4,2,1,13,34.6
2024-11,U03,A03,3,2,2,0,8,31.9
2024-11,U03,A04,3,1,2,0,5,31.3
2024-11,U03,A05,0,0,1,0,1,22.1
2024-11,U03,A06,0,0,1,0,2,20.7
2024-11,U04,A03,2,1,1,0,8,34.7
2024-11,U04,A04,1,0,1,0,2,33.0
2024-11,U04,A05,0,0,0,0,0,24.8
2024-11,U04,A06,0,0,0,0,0,25.1
2024-11,U05,A05,0,0,0,0,0,24.6
2024-11,U05,A06,1,0,1,0,2,20.8
2024-12,U01,A01,6,3,2,1,11,34.6
2024-12,U01,A03,1,1,1,0,5,36.3
2024-12,U01,A04,4,1,2,0,3,35.0
2024-12,U01,A05,0,0,0,0,0,24.2
2024-12,U01,A06,0,0,1,0,0,23.0
2024-12,U02,A02,3,2,1,0,4,29.9
2024-12,U02,A03,1,1,1,0,4,35.7
2024-12,U02,A04,0,0,1,0,3,32.3
2024-12,U02,A05,0,0,0,0,0,21.0
2024-12,U02,A06,0,0,0,0,0,20.7
2024-12,U03,A02,5,3,2,1,18,30.0
2024-12,U03,A03,3,2,1,0,6,30.0
2024-12,U03,A04,3,2,2,0,8,36.7
2024-12,U03,A05,0,0,0,0,1,24.4
2024-12,U03,A06,0,0,1,0,1,23.3
2024-12,U04,A03,1,1,1,0,4,36.1
2024-12,U04,A04,1,0,1,0,2,36.6
