periodo,unidad_id,area_id,costo_ordinario,costo_horas_extra,costo_prestaciones,horas_ordinarias,horas_extra,presupuesto_costo_laboral,toneladas_movidas
2024-08,U01,A01,10672258.0,1926716.0,3771261.0,82560.0,7549.6,16480713.0,513076.2
2024-08,U01,A03,3382407.0,568202.0,1286574.0,28800.0,2435.2,5288190.0,222094.5
2024-08,U01,A04,4685389.0,803174.0,1552270.0,34944.0,3011.9,7096639.0,0.0
2024-08,U01,A05,929583.0,139214.0,345352.0,5984.0,489.5,1432542.0,0.0
2024-08,U01,A06,1614210.0,262671.0,536622.0,8272.0,730.9,2436742.0,0.0
2024-08,U02,A02,9786018.0,1055069.0,3804490.0,71232.0,3779.4,14961731.0,452195.6
2024-08,U02,A03,3655374.0,422417.0,1391069.0,32256.0,1810.4,5577674.0,248337.2
2024-08,U02,A04,4262866.0,530893.0,1515241.0,32256.0,1990.9,6420365.0,0.0
2024-08,U02,A05,811772.0,78864.0,282007.0,5104.0,277.3,1199781.0,0.0
2024-08,U02,A06,1375329.0,150947.0,469292.0,7040.0,420.0,2036311.0,0.0
2024-08,U03,A02,12455577.0,1904663.0,4560490.0,88896.0,6822.7,19153147.0,575912.1
2024-08,U03,A03,4761935.0,590864.0,1578389.0,40512.0,2532.3,7051060.0,305038.9
2024-08,U03,A04,5441145.0,726326.0,2033798.0,40704.0,2723.7,8334270.0,0.0
2024-08,U03,A05,998562.0,111974.0,381329.0,6512.0,393.8,1522608.0,0.0
2024-08,U03,A06,1818106.0,200271.0,601061.0,9152.0,557.3,2672224.0,0.0
2024-08,U04,A03,6697473.0,510626.0,2586070.0,56064.0,2188.4,10068953.0,441816.2
2024-08,U04,A04,3270508.0,318399.0,1125821.0,25152.0,1194.0,4823411.0,0.0
2024-08,U04,A05,559382.0,44148.0,214328.0,3696.0,155.2,840314.0,0.0
2024-08,U04,A06,1148599.0,106745.0,416355.0,5808.0,297.0,1712234.0,0.0
2024-08,U05,A05,296135.0,18325.0,105801.0,1936.0,64.4,433217.0,0.0
2024-08,U05,A06,3332762.0,183706.0,1187924.0,16720.0,511.2,4856386.0,0.0
2024-09,U01,A01,10415437.0,1549931.0,3774784.0,81216.0,6051.4,15944731.0,493980.9
2024-09,U01,A03,3500467.0,535367.0,1241805.0,29568.0,2286.2,5341139.0,226069.0
2024-09,U01,A04,4947859.0,860608.0,1857445.0,36096.0,3215.7,7731179.0,0.0
2024-09,U01,A05,904105.0,143186.0,325655.0,5984.0,501.7,1388194.0,0.0
2024-09,U01,A06,1616821.0,281032.0,588571.0,8272.0,779.2,2506977.0,0.0
2024-09,U02,A02,10448201.0,1262635.0,3488879.0,73920.0,4506.6,15473345.0,444864.8
2024-09,U02,A03,3807675.0,475833.0,1272315.0,32640.0,2032.0,5651190.0,269419.6
2024-09,U02,A04,4511135.0,475094.0,1554984.0,33792.0,1775.2,6681163.0,0.0
2024-09,U02,A05,770874.0,87162.0,256747.0,5104.0,305.4,1136620.0,0.0
2024-09,U02,A06,1380770.0,170233.0,492758.0,7216.0,472.0,2080404.0,0.0
2024-09,U03,A02,12110304.0,2166555.0,4000789.0,88128.0,7732.9,18396012.0,521902.0
2024-09,U03,A03,4555181.0,645719.0,1747100.0,39168.0,2757.4,7050801.0,310030.2
2024-09,U03,A04,5472068.0,928417.0,1944727.0,41856.0,3469.0,8419010.0,0.0
2024-09,U03,A05,1045823.0,156559.0,366379.0,6688.0,548.6,1588473.0,0.0
2024-09,U03,A06,1834708.0,287871.0,643906.0,9328.0,798.2,2797419.0,0.0
2024-09,U04,A03,6809977.0,701833.0,2397156.0,57024.0,2997.0,10126775.0,465895.4
2024-09,U04,A04,3278429.0,307671.0,1105473.0,24768.0,1149.6,4802701.0,0.0
2024-09,U04,A05,562445.0,44840.0,202067.0,3696.0,157.1,831199.0,0.0
2024-09,U04,A06,1133470.0,116201.0,380877.0,5808.0,322.2,1666157.0,0.0
2024-09,U05,A05,307957.0,20238.0,102073.0,1936.0,70.9,443053.0,0.0
2024-09,U05,A06,3320465.0,174198.0,1176739.0,16896.0,483.0,4825001.0,0.0
2024-10,U01,A01,9960424.0,1778183.0,3798820.0,79872.0,6917.6,15658703.0,497466.3
2024-10,U01,A03,3460395.0,587612.0,1317568.0,28800.0,2500.3,5416053.0,234949.4
2024-10,U01,A04,4791844.0,764121.0,1697049.0,35712.0,2844.9,7331061.0,0.0
2024-10,U01,A05,905099.0,130857.0,325306.0,5808.0,456.9,1379990.0,0.0
2024-10,U01,A06,1654379.0,285325.0,603737.0,8624.0,788.3,2565166.0,0.0
2024-10,U02,A02,10587987.0,1141884.0,3614389.0,76224.0,4061.0,15663640.0,475474.4
2024-10,U02,A03,3606525.0,417638.0,1402224.0,31488.0,1777.1,5534842.0,260712.4
2024-10,U02,A04,4682469.0,603001.0,1812035.0,33984.0,2245.0,7220917.0,0.0
2024-10,U02,A05,800315.0,96955.0,272390.0,5280.0,338.5,1190785.0,0.0
2024-10,U02,A06,1422197.0,166102.0,523936.0,7216.0,458.9,2153302.0,0.0
2024-10,U03,A02,12127241.0,1903327.0,4253236.0,87168.0,6769.0,18487993.0,569264.4
2024-10,U03,A03,4579857.0,644119.0,1731598.0,40128.0,2740.7,7059236.0,338009.2
2024-10,U03,A04,5494488.0,897854.0,1995635.0,41088.0,3342.8,8473633.0,0.0
2024-10,U03,A05,1047392.0,133162.0,377006.0,6688.0,464.9,1584373.0,0.0
2024-10,U03,A06,1799923.0,265479.0,686249.0,9152.0,733.4,2789195.0,0.0
2024-10,U04,A03,6877054.0,636983.0,2324663.0,56832.0,2710.4,10074422.0,431745.1
2024-10,U04,A04,3493207.0,332127.0,1218071.0,25536.0,1236.6,5162417.0,0.0
2024-10,U04,A05,616649.0,61711.0,237652.0,3872.0,215.4,937177.0,0.0
2024-10,U04,A06,1197627.0,114817.0,431355.0,5984.0,317.2,1784955.0,0.0
2024-10,U05,A05,336324.0,21294.0,113925.0,2112.0,74.3,485842.0,0.0
2024-10,U05,A06,3383347.0,225342.0,1149899.0,16720.0,622.5,4899489.0,0.0
2024-11,U01,A01,10976479.0,1473689.0,3748300.0,84672.0,5712.6,16448449.0,525583.5
2024-11,U01,A03,3489633.0,593899.0,1205420.0,29376.0,2518.0,5333937.0,242564.4
2024-11,U01,A04,5060027.0,871080.0,1941498.0,36864.0,3231.6,7943772.0,0.0
2024-11,U01,A05,930381.0,127119.0,338841.0,5984.0,442.2,1417863.0,0.0
2024-11,U01,A06,1672446.0,275185.0,631851.0,8448.0,757.5,2606123.0,0.0
2024-11,U02,A02,10651090.0,986724.0,3579111.0,73920.0,3496.7,15581002.0,456366.7
2024-11,U02,A03,3882064.0,404525.0,1301595.0,32448.0,1715.1,5708182.0,247704.2
2024-11,U02,A04,4428163.0,454943.0,1582239.0,32640.0,1687.8,6608428.0,0.0
2024-11,U02,A05,854758.0,88362.0,288379.0,5456.0,307.4,1258199.0,0.0
2024-11,U02,A06,1444041.0,155404.0,495956.0,7392.0,427.8,2139188.0,0.0
2024-11,U03,A02,12271235.0,1741094.0,4077741.0,89280.0,6170.0,18338267.0,572241.4
2024-11,U03,A03,4733647.0,655991.0,1572510.0,39936.0,2781.3,7062248.0,335987.7
2024-11,U03,A04,5733306.0,704031.0,2114824.0,41664.0,2611.8,8708199.0,0.0
2024-11,U03,A05,1072177.0,140054.0,412928.0,6688.0,487.2,1652773.0,0.0
2024-11,U03,A06,1860286.0,237771.0,648633.0,9328.0,654.5,2793014.0,0.0
2024-11,U04,A03,6590466.0,574239.0,2290468.0,57408.0,2434.7,9694028.0,440934.6
2024-11,U04,A04,3372942.0,316179.0,1135923.0,25728.0,1173.0,4939414.0,0.0
2024-11,U04,A05,594073.0,56447.0,229704.0,3872.0,196.4,901489.0,0.0
2024-11,U04,A06,1216357.0,90070.0,415769.0,5984.0,247.9,1770423.0,0.0
2024-11,U05,A05,322324.0,18829.0,111145.0,2112.0,65.5,466532.0,0.0
2024-11,U05,A06,3531648.0,168231.0,1362006.0,17424.0,463.1,5234995.0,0.0
2024-12,U01,A01,10507452.0,1618790.0,3548950.0,81984.0,6252.8,15854469.0,502439.0
2024-12,U01,A03,3386965.0,450427.0,1228180.0,29184.0,1902.9,5147134.0,241535.4
2024-12,U01,A04,5097440.0,692023.0,1828907.0,37056.0,2558.2,7736290.0,0.0
2024-12,U01,A05,949914.0,104357.0,332104.0,6160.0,361.7,1414846.0,0.0
2024-12,U01,A06,1716108.0,254055.0,619042.0,8800.0,696.9,2623151.0,0.0
2024-12,U02,A02,10577761.0,1193178.0,3744049.0,76032.0,4213.3,15825380.0,483298.9
2024-12,U02,A03,3830476.0,336708.0,1479149.0,32064.0,1422.5,5790987.0,239889.4
2024-12,U02,A04,4651727.0,423190.0,1670329.0,33600.0,1564.4,6911245.0,0.0
2024-12,U02,A05,845774.0,83424.0,283211.0,5456.0,289.2,1239855.0,0.0
2024-12,U02,A06,1422917.0,115393.0,552783.0,7216.0,316.5,2147690.0,0.0
2024-12,U03,A02,12121328.0,1411671.0,4680033.0,86784.0,4984.8,18573825.0,552035.9
2024-12,U03,A03,4865053.0,527066.0,1609227.0,39936.0,2226.7,7145110.0,299710.7
2024-12,U03,A04,5566237.0,699243.0,2053678.0,40320.0,2584.9,8466266.0,0.0
2024-12,U03,A05,1035282.0,129612.0,370747.0,6512.0,449.3,1562622.0,0.0
2024-12,U03,A06,1860238.0,236574.0,708737.0,9504.0,648.9,2854912.0,0.0
2024-12,U04,A03,6813789.0,467613.0,2277798.0,58176.0,1975.5,9837390.0,439310.6
2024-12,U04,A04,3544492.0,316717.0,1276132.0,25728.0,1170.8,5265589.0,0.0
2024-12,U04,A05,614482.0,38844.0,233940.0,3872.0,134.7,914569.0,0.0
2024-12,U04,A06,1178740.0,96611.0,427351.0,5984.0,265.0,1747924.0,0.0
2024-12,U05,A05,339659.0,14474.0,127855.0,2112.0,50.2,498973.0,0.0
2024-12,U05,A06,3484555.0,166318.0,1295264.0,17072.0,456.2,5114660.0,0.0
2025-01,U01,A01,10223678.0,1051468.0,3530633.0,80064.0,4047.0,15130312.0,462360.7
2025-01,U01,A03,3296196.0,446866.0,1175443.0,28608.0,1881.2,4994606.0,214214.5
2025-01,U01,A04,5028069.0,607630.0,1667615.0,36096.0,2238.2,7434484.0,0.0
2025-01,U01,A05,916866.0,91984.0,337646.0,5808.0,317.7,1377194.0,0.0
2025-01,U01,A06,1791443.0,204278.0,642320.0,8800.0,558.3,2690362.0,0.0
2025-01,U02,A02,10522418.0,824357.0,3814169.0,75264.0,2900.6,15575270.0,450667.2
2025-01,U02,A03,3911860.0,344466.0,1501528.0,32832.0,1450.1,5905006.0,256865.1
2025-01,U02,A04,4379470.0,329635.0,1495875.0,32256.0,1214.2,6377072.0,0.0
2025-01,U02,A05,845890.0,68644.0,317309.0,5280.0,237.1,1264967.0,0.0
2025-01,U02,A06,1448654.0,102782.0,507124.0,7392.0,280.9,2117791.0,0.0
2025-01,U03,A02,12634430.0,1327239.0,4309952.0,88512.0,4670.0,18662490.0,545863.8
2025-01,U03,A03,4686639.0,568895.0,1814774.0,39360.0,2394.9,7203582.0,297404.5
2025-01,U03,A04,5460915.0,641815.0,1906941.0,40320.0,2364.1,8161516.0,0.0
2025-01,U03,A05,1083687.0,98730.0,398054.0,6864.0,341.0,1619505.0,0.0
2025-01,U03,A06,1868414.0,204565.0,724959.0,9504.0,559.1,2857361.0,0.0
2025-01,U04,A03,6742316.0,491711.0,2421987.0,56832.0,2070.0,9930729.0,440482.0
2025-01,U04,A04,3393286.0,253061.0,1314873.0,25152.0,932.2,5102230.0,0.0
2025-01,U04,A05,600312.0,34103.0,201017.0,3872.0,117.8,861944.0,0.0
2025-01,U04,A06,1140469.0,65760.0,434831.0,5632.0,179.7,1693536.0,0.0
2025-01,U05,A05,335438.0,16134.0,116298.0,2112.0,55.7,483680.0,0.0
2025-01,U05,A06,3373305.0,145314.0,1221799.0,16720.0,397.2,4906509.0,0.0
2025-02,U01,A01,10688501.0,1181699.0,4094258.0,84096.0,4532.2,16298806.0,539875.3
2025-02,U01,A03,3403115.0,386498.0,1171143.0,28416.0,1621.3,5058378.0,232707.8
2025-02,U01,A04,5055655.0,559686.0,1901495.0,36864.0,2054.3,7673195.0,0.0
2025-02,U01,A05,940702.0,80360.0,337956.0,5984.0,276.6,1394057.0,0.0
2025-02,U01,A06,1725787.0,157396.0,653205.0,8624.0,428.7,2599372.0,0.0
2025-02,U02,A02,10829820.0,739551.0,4156573.0,74496.0,2593.0,16193257.0,474662.9
2025-02,U02,A03,3957580.0,308585.0,1455470.0,32448.0,1294.5,5878819.0,246383.6
2025-02,U02,A04,4553011.0,378780.0,1714931.0,33600.0,1390.3,6822720.0,0.0
2025-02,U02,A05,830629.0,46366.0,298459.0,5104.0,159.6,1213281.0,0.0
2025-02,U02,A06,1379155.0,103526.0,515203.0,7040.0,282.0,2054144.0,0.0
2025-02,U03,A02,12954746.0,1009288.0,4860998.0,88704.0,3538.7,19344140.0,562480.8
2025-02,U03,A03,4805062.0,496796.0,1855515.0,40896.0,2084.0,7317996.0,350126.1
2025-02,U03,A04,5763461.0,534917.0,2025256.0,41664.0,1963.4,8524350.0,0.0
2025-02,U03,A05,1088513.0,93024.0,415461.0,6688.0,320.2,1638631.0,0.0
2025-02,U03,A06,1771461.0,169559.0,644247.0,8976.0,461.8,2646496.0,0.0
2025-02,U04,A03,6869614.0,457717.0,2660331.0,58944.0,1920.1,10288348.0,489619.2
2025-02,U04,A04,3552930.0,235224.0,1181702.0,25920.0,863.4,5117052.0,0.0
2025-02,U04,A05,610716.0,36824.0,217158.0,3872.0,126.7,891641.0,0.0
2025-02,U04,A06,1128698.0,52994.0,416668.0,5632.0,144.3,1653063.0,0.0
2025-02,U05,A05,342389.0,12700.0,130072.0,2112.0,43.7,502866.0,0.0
2025-02,U05,A06,3487193.0,117985.0,1205347.0,17600.0,321.3,4988654.0,0.0
2025-03,U01,A01,10825275.0,926563.0,3737368.0,82944.0,3541.2,15885088.0,503532.8
2025-03,U01,A03,3514859.0,321332.0,1235461.0,29184.0,1343.2,5195443.0,246160.8
2025-03,U01,A04,4751754.0,452767.0,1757056.0,35712.0,1656.0,7127699.0,0.0
2025-03,U01,A05,969148.0,94819.0,343295.0,5984.0,325.2,1439773.0,0.0
2025-03,U01,A06,1677184.0,154722.0,604456.0,8272.0,419.9,2495714.0,0.0
2025-03,U02,A02,10355253.0,647093.0,3798928.0,72000.0,2260.8,15257027.0,475564.8
2025-03,U02,A03,3830922.0,231550.0,1459453.0,32064.0,967.9,5695158.0,260477.2
2025-03,U02,A04,4539597.0,329599.0,1698028.0,33024.0,1205.5,6755630.0,0.0
2025-03,U02,A05,815076.0,45440.0,278292.0,5104.0,155.9,1175287.0,0.0
2025-03,U02,A06,1490188.0,78905.0,551357.0,7216.0,214.2,2190226.0,0.0
2025-03,U03,A02,12510857.0,902323.0,4639174.0,85632.0,3152.6,18571455.0,539622.6
2025-03,U03,A03,4674118.0,420795.0,1775672.0,38976.0,1759.0,7043003.0,309959.3
2025-03,U03,A04,5363413.0,407994.0,1908317.0,39744.0,1492.3,7892714.0,0.0
2025-03,U03,A05,1074914.0,74885.0,359812.0,6688.0,256.8,1553206.0,0.0
2025-03,U03,A06,1853577.0,128582.0,659534.0,8976.0,349.0,2718779.0,0.0
2025-03,U04,A03,7131222.0,363072.0,2545452.0,58560.0,1517.7,10373536.0,460209.6
2025-03,U04,A04,3588936.0,174388.0,1298367.0,25728.0,637.8,5232791.0,0.0
2025-03,U04,A05,605012.0,30360.0,217163.0,3872.0,104.1,881032.0,0.0
2025-03,U04,A06,1188196.0,58172.0,445319.0,5808.0,157.9,1748907.0,0.0
2025-03,U05,A05,327558.0,12760.0,112815.0,2112.0,43.8,469377.0,0.0
2025-03,U05,A06,3525757.0,114158.0,1329672.0,17424.0,309.8,5156116.0,0.0
2025-04,U01,A01,10500796.0,989202.0,3567701.0,80832.0,3767.3,15413804.0,477273.5
2025-04,U01,A03,3497527.0,294355.0,1205248.0,28416.0,1226.1,5126335.0,217794.3
2025-04,U01,A04,4883622.0,498035.0,1818814.0,35136.0,1815.2,7362631.0,0.0
2025-04,U01,A05,940984.0,74561.0,319204.0,5984.0,254.8,1370580.0,0.0
2025-04,U01,A06,1658897.0,148479.0,630372.0,8272.0,401.6,2499192.0,0.0
2025-04,U02,A02,10813769.0,758207.0,3785043.0,73920.0,2639.8,15801668.0,477199.2
2025-04,U02,A03,3867581.0,245904.0,1451726.0,31680.0,1024.3,5735726.0,263657.6
2025-04,U02,A04,4463847.0,344664.0,1535235.0,33024.0,1256.2,6517200.0,0.0
2025-04,U02,A05,853747.0,50635.0,313566.0,5280.0,173.1,1256300.0,0.0
2025-04,U02,A06,1398282.0,84608.0,499556.0,7040.0,228.8,2044158.0,0.0
2025-04,U03,A02,12285939.0,1035713.0,4735665.0,87744.0,3605.9,18533289.0,558858.2
2025-04,U03,A03,4977320.0,393169.0,1889326.0,40512.0,1637.7,7458727.0,313423.5
2025-04,U03,A04,5675124.0,537166.0,2149744.0,40704.0,1957.9,8563747.0,0.0
2025-04,U03,A05,1089438.0,87516.0,373977.0,6688.0,299.1,1592281.0,0.0
2025-04,U03,A06,1797830.0,155372.0,640979.0,8976.0,420.2,2660423.0,0.0
2025-04,U04,A03,6903874.0,457092.0,2413969.0,58560.0,1904.0,10066252.0,492018.5
2025-04,U04,A04,3383856.0,181077.0,1119336.0,24960.0,660.0,4836212.0,0.0
2025-04,U04,A05,609240.0,36172.0,213939.0,3872.0,123.6,886265.0,0.0
2025-04,U04,A06,1148277.0,52446.0,442177.0,5632.0,141.8,1699785.0,0.0
2025-04,U05,A05,315139.0,11611.0,105700.0,1936.0,39.7,448136.0,0.0
2025-04,U05,A06,3479078.0,114563.0,1337553.0,17248.0,309.8,5115865.0,0.0
2025-05,U01,A01,10534981.0,1352732.0,4018782.0,81984.0,5133.8,16182649.0,541045.4
2025-05,U01,A03,3527001.0,432288.0,1251680.0,28800.0,1794.4,5304969.0,227966.7
2025-05,U01,A04,4859974.0,617837.0,1662101.0,35712.0,2244.0,7260411.0,0.0
2025-05,U01,A05,941915.0,108603.0,330058.0,5984.0,369.9,1407405.0,0.0
2025-05,U01,A06,1678302.0,143125.0,635751.0,8272.0,385.7,2521235.0,0.0
2025-05,U02,A02,10671646.0,717579.0,3821991.0,74496.0,2489.6,15662508.0,478043.4
2025-05,U02,A03,3753365.0,333433.0,1304942.0,32064.0,1384.0,5526003.0,259313.5
2025-05,U02,A04,4394490.0,308110.0,1650876.0,32064.0,1119.1,6539246.0,0.0
2025-05,U02,A05,821474.0,58087.0,320267.0,5104.0,197.8,1234943.0,0.0
2025-05,U02,A06,1540114.0,104616.0,549902.0,7392.0,281.9,2259390.0,0.0
2025-05,U03,A02,12738862.0,1109557.0,4738045.0,85824.0,3849.5,19062248.0,522504.4
2025-05,U03,A03,4799074.0,516568.0,1583998.0,39360.0,2144.2,7042240.0,316485.8
2025-05,U03,A04,5716511.0,583804.0,2063598.0,40896.0,2120.4,8550553.0,0.0
2025-05,U03,A05,1026825.0,90610.0,398738.0,6512.0,308.6,1554953.0,0.0
2025-05,U03,A06,1772745.0,178558.0,618702.0,8976.0,481.2,2627624.0,0.0
2025-05,U04,A03,6922633.0,482236.0,2616042.0,57024.0,2001.7,10315126.0,464880.6
2025-05,U04,A04,3504439.0,250249.0,1282377.0,25152.0,908.9,5182402.0,0.0
2025-05,U04,A05,637236.0,38794.0,216238.0,3872.0,132.1,919812.0,0.0
2025-05,U04,A06,1161942.0,67590.0,415119.0,5632.0,182.2,1696694.0,0.0
2025-05,U05,A05,310785.0,12867.0,108463.0,1936.0,43.8,447378.0,0.0
2025-05,U05,A06,3562047.0,145277.0,1179985.0,17424.0,391.5,5060023.0,0.0
2025-06,U01,A01,10738246.0,1468194.0,3642582.0,79872.0,5552.5,16085065.0,524578.0
2025-06,U01,A03,3480841.0,501009.0,1303491.0,28416.0,2072.4,5360354.0,223580.0
2025-06,U01,A04,4949902.0,724273.0,1923647.0,36480.0,2621.4,7704335.0,0.0
2025-06,U01,A05,951270.0,130460.0,346750.0,5984.0,442.8,1450362.0,0.0
2025-06,U01,A06,1729267.0,199349.0,621665.0,8624.0,535.4,2600255.0,0.0
2025-06,U02,A02,10799912.0,928441.0,3682494.0,75456.0,3209.9,15802591.0,448621.9
2025-06,U02,A03,3742421.0,363914.0,1239646.0,31488.0,1505.3,5468278.0,263634.7
2025-06,U02,A04,4541228.0,467195.0,1620429.0,32256.0,1691.0,6775313.0,0.0
2025-06,U02,A05,897379.0,85858.0,327982.0,5456.0,291.4,1342320.0,0.0
2025-06,U02,A06,1473049.0,139747.0,538258.0,7392.0,375.3,2202434.0,0.0
2025-06,U03,A02,13236583.0,1609538.0,4496776.0,89472.0,5564.7,19690227.0,521933.7
2025-06,U03,A03,4892330.0,641683.0,1707962.0,39360.0,2654.3,7359317.0,339217.8
2025-06,U03,A04,5770479.0,650845.0,1905608.0,41664.0,2355.7,8490119.0,0.0
2025-06,U03,A05,1092113.0,126009.0,364988.0,6688.0,427.7,1613397.0,0.0
2025-06,U03,A06,1906001.0,177869.0,705726.0,9152.0,477.7,2857320.0,0.0
2025-06,U04,A03,7099985.0,607936.0,2385370.0,57984.0,2514.7,10349910.0,448570.9
2025-06,U04,A04,3518696.0,254751.0,1333787.0,24768.0,922.0,5254266.0,0.0
2025-06,U04,A05,610195.0,39935.0,206510.0,3696.0,135.5,882210.0,0.0
2025-06,U04,A06,1210370.0,78442.0,470724.0,5984.0,210.7,1813221.0,0.0
2025-06,U05,A05,341297.0,17183.0,116158.0,2112.0,58.3,490413.0,0.0
