periodo,unidad_id,area_id,tipo_relacion,turno,headcount,dotacion_autorizada,mujeres,antiguedad_prom_meses,puestos_criticos_totales,puestos_criticos_cubiertos
2025-08,U01,A01,Propio,14x7,140,140,,,,
2025-08,U01,A02,Propio,14x7,15,15,,,,
2025-08,U03,A02,Propio,14x7,25,25,,,,
2025-08,U05,A01,Propio,5x2,7,7,,,,
2025-08,U07,A03,Propio,20x10,29,29,,,,
2025-08,U08,A07,Propio,5x2,47,47,,,,
2025-09,U01,A01,Propio,14x7,140,140,,,,
2025-09,U01,A02,Propio,14x7,15,15,,,,
2025-09,U03,A02,Propio,14x7,25,25,,,,
2025-09,U05,A01,Propio,5x2,7,7,,,,
2025-09,U07,A03,Propio,20x10,29,29,,,,
2025-09,U08,A07,Propio,5x2,47,47,,,,
2025-10,U01,A01,Propio,14x7,140,140,,,,
2025-10,U01,A02,Propio,14x7,15,15,,,,
2025-10,U03,A02,Propio,14x7,25,25,,,,
2025-10,U05,A01,Propio,5x2,7,7,,,,
2025-10,U07,A03,Propio,20x10,29,29,,,,
2025-10,U08,A07,Propio,5x2,47,47,,,,
2025-11,U01,A01,Propio,14x7,140,140,,,,
2025-11,U01,A02,Propio,14x7,15,15,,,,
2025-11,U03,A02,Propio,14x7,25,25,,,,
2025-11,U05,A01,Propio,5x2,7,7,,,,
2025-11,U07,A03,Propio,20x10,29,29,,,,
2025-11,U08,A07,Propio,5x2,47,47,,,,
2025-12,U01,A01,Propio,14x7,140,140,,,,
2025-12,U01,A02,Propio,14x7,15,15,,,,
2025-12,U03,A02,Propio,14x7,25,25,,,,
2025-12,U05,A01,Propio,5x2,7,7,,,,
2025-12,U07,A03,Propio,20x10,29,29,,,,
2025-12,U08,A07,Propio,5x2,47,47,,,,
2026-01,U01,A01,Propio,14x7,140,140,,,,
2026-01,U01,A02,Propio,14x7,15,15,,,,
2026-01,U03,A02,Propio,14x7,30,30,,,,
2026-01,U05,A01,Propio,5x2,7,7,,,,
2026-01,U06,A01,Propio,5x2,7,7,,,,
2026-01,U07,A03,Propio,20x10,29,29,,,,
2026-01,U08,A07,Propio,5x2,47,47,,,,
2026-02,U01,A01,Propio,14x7,140,140,,,,
2026-02,U01,A02,Propio,14x7,15,15,,,,
2026-02,U03,A02,Propio,14x7,33,33,,,,
2026-02,U05,A01,Propio,5x2,7,7,,,,
2026-02,U06,A01,Propio,5x2,7,7,,,,
2026-02,U07,A03,Propio,20x10,29,29,,,,
2026-02,U08,A07,Propio,5x2,47,47,,,,
2026-03,U01,A01,Propio,14x7,140,140,,,,
2026-03,U01,A02,Propio,14x7,15,15,,,,
2026-03,U03,A02,Propio,14x7,33,33,,,,
2026-03,U05,A01,Propio,5x2,7,7,,,,
2026-03,U06,A01,Propio,5x2,7,7,,,,
2026-03,U07,A03,Propio,20x10,29,29,,,,
2026-03,U08,A07,Propio,5x2,47,47,,,,
2026-04,U01,A01,Propio,14x7,140,140,,,,
2026-04,U01,A02,Propio,14x7,16,20,,,,
2026-04,U03,A02,Propio,14x7,33,33,,,,
2026-04,U05,A01,Propio,5x2,7,7,,,,
2026-04,U06,A01,Propio,5x2,7,7,,,,
2026-04,U07,A03,Propio,20x10,29,29,,,,
2026-04,U08,A07,Propio,5x2,47,47,,,,
2026-05,U01,A01,Propio,14x7,140,140,,,,
2026-05,U01,A02,Propio,14x7,17,20,,,,
2026-05,U03,A02,Propio,14x7,33,33,,,,
2026-05,U05,A01,Propio,5x2,7,7,,,,
2026-05,U06,A01,Propio,5x2,10,67,,,,
2026-05,U07,A03,Propio,20x10,29,29,,,,
2026-05,U08,A07,Propio,5x2,47,47,,,,
2026-06,U01,A01,Propio,14x7,140,140,,,,
2026-06,U01,A02,Propio,14x7,20,20,,,,
2026-06,U03,A02,Propio,14x7,33,33,,,,
2026-06,U05,A01,Propio,5x2,7,7,,,,
2026-06,U06,A01,Propio,5x2,10,67,,,,
2026-06,U07,A03,Propio,20x10,29,29,,,,
2026-06,U08,A07,Propio,5x2,47,47,,,,
2026-07,U01,A01,Propio,14x7,142,160,,,,
2026-07,U01,A02,Propio,14x7,21,21,,,,
2026-07,U03,A02,Propio,14x7,33,33,,,,
2026-07,U05,A01,Propio,5x2,7,7,,,,
2026-07,U06,A01,Propio,5x2,15,67,,,,
2026-07,U07,A03,Propio,20x10,29,29,,,,
2026-07,U08,A07,Propio,5x2,51,51,,,,
2026-08,U01,A01,Propio,14x7,142,160,,,,
2026-08,U01,A02,Propio,14x7,21,21,,,,
2026-08,U03,A02,Propio,14x7,33,33,,,,
2026-08,U05,A01,Propio,5x2,7,7,,,,
2026-08,U06,A01,Propio,5x2,19,67,,,,
2026-08,U07,A03,Propio,20x10,29,29,,,,
2026-08,U08,A07,Propio,5x2,51,51,,,,
