periodo,unidad_id,sindicato,trabajadores_sindicalizados,emplazamientos,conflictos_abiertos,conflictos_cerrados,dias_a_revision_cct,riesgo_sindical,enps,participacion_clima
2024-08,U01,Sindicato Nacional Minero Metalúrgico - Sec. 12,624,0,7,2,325,4,23.3,0.709
2024-08,U02,Sindicato Minero Independiente Durango,584,0,3,1,175,2,33.9,0.665
2024-08,U03,Sindicato Nacional Minero Metalúrgico - Sec. 41,814,0,4,1,270,3,28.5,0.715
2024-08,U04,Sindicato de Trabajadores de la Industria Metalúrgica,407,0,3,1,105,2,39.3,0.764
2024-08,U05,No sindicalizado,0,0,1,0,0,1,44.9,0.716
2024-09,U01,Sindicato Nacional Minero Metalúrgico - Sec. 12,617,1,6,4,295,4,21.9,0.682
2024-09,U02,Sindicato Minero Independiente Durango,550,0,2,1,145,2,36.1,0.654
2024-09,U03,Sindicato Nacional Minero Metalúrgico - Sec. 41,687,0,5,2,240,3,28.9,0.74
2024-09,U04,Sindicato de Trabajadores de la Industria Metalúrgica,337,0,2,0,75,2,36.4,0.77
2024-09,U05,No sindicalizado,0,0,1,0,0,1,40.7,0.772
2024-10,U01,Sindicato Nacional Minero Metalúrgico - Sec. 12,609,1,6,2,265,4,22.1,0.678
2024-10,U02,Sindicato Minero Independiente Durango,576,0,3,1,115,2,37.7,0.761
2024-10,U03,Sindicato Nacional Minero Metalúrgico - Sec. 41,718,0,5,1,210,3,28.4,0.75
2024-10,U04,Sindicato de Trabajadores de la Industria Metalúrgica,359,0,3,1,45,2,35.6,0.781
2024-10,U05,No sindicalizado,0,0,1,0,0,1,42.5,0.755
2024-11,U01,Sindicato Nacional Minero Metalúrgico - Sec. 12,705,0,7,2,235,4,22.9,0.738
2024-11,U02,Sindicato Minero Independiente Durango,549,0,2,0,85,2,34.4,0.781
2024-11,U03,Sindicato Nacional Minero Metalúrgico - Sec. 41,683,1,4,1,180,3,28.3,0.73
2024-11,U04,Sindicato de Trabajadores de la Industria Metalúrgica,350,0,2,1,15,2,34.2,0.784
2024-11,U05,No sindicalizado,0,0,1,0,0,1,44.5,0.763
2024-12,U01,Sindicato Nacional Minero Metalúrgico - Sec. 12,607,0,4,1,205,4,23.8,0.73
2024-12,U02,Sindicato Minero Independiente Durango,624,0,3,1,55,2,35.6,0.709
2024-12,U03,Sindicato Nacional Minero Metalúrgico - Sec. 41,768,0,5,1,150,3,30.3,0.718
2024-12,U04,Sindicato de Trabajadores de la Industria Metalúrgica,337,0,2,1,350,2,38.0,0.709
2024-12,U05,No sindicalizado,0,0,1,0,0,1,43.1,0.66
2025-01,U01,Sindicato Nacional Minero Metalúrgico - Sec. 12,576,0,7,5,175,4,24.0,0.707
2025-01,U02,Sindicato Minero Independiente Durango,676,0,3,2,25,2,38.4,0.67
2025-01,U03,Sindicato Nacional Minero Metalúrgico - Sec. 41,751,0,3,2,120,3,31.1,0.761
2025-01,U04,Sindicato de Trabajadores de la Industria Metalúrgica,363,0,2,1,320,2,32.9,0.723
2025-01,U05,No sindicalizado,0,0,1,0,0,1,38.7,0.784
2025-02,U01,Sindicato Nacional Minero Metalúrgico - Sec. 12,644,0,7,2,145,4,21.0,0.696
2025-02,U02,Sindicato Minero Independiente Durango,567,0,3,2,360,2,34.3,0.704
2025-02,U03,Sindicato Nacional Minero Metalúrgico - Sec. 41,789,1,5,2,90,3,29.0,0.736
2025-02,U04,Sindicato de Trabajadores de la Industria Metalúrgica,350,0,4,2,290,2,32.2,0.776
2025-02,U05,No sindicalizado,0,0,1,0,0,1,42.7,0.722
2025-03,U01,Sindicato Nacional Minero Metalúrgico - Sec. 12,669,0,5,2,115,4,23.1,0.729
2025-03,U02,Sindicato Minero Independiente Durango,662,1,4,1,330,2,37.1,0.745
2025-03,U03,Sindicato Nacional Minero Metalúrgico - Sec. 41,722,0,4,3,60,3,26.7,0.684
2025-03,U04,Sindicato de Trabajadores de la Industria Metalúrgica,415,0,2,1,260,2,36.6,0.659
2025-03,U05,No sindicalizado,0,0,1,0,0,1,41.7,0.789
2025-04,U01,Sindicato Nacional Minero Metalúrgico - Sec. 12,677,0,7,3,85,4,22.5,0.776
2025-04,U02,Sindicato Minero Independiente Durango,567,1,2,1,300,2,33.2,0.734
2025-04,U03,Sindicato Nacional Minero Metalúrgico - Sec. 41,668,0,5,4,30,3,31.0,0.787
2025-04,U04,Sindicato de Trabajadores de la Industria Metalúrgica,416,0,4,2,230,2,32.4,0.699
2025-04,U05,No sindicalizado,0,0,1,0,0,1,44.7,0.722
2025-05,U01,Sindicato Nacional Minero Metalúrgico - Sec. 12,665,1,7,3,55,4,21.0,0.72
2025-05,U02,Sindicato Minero Independiente Durango,599,0,4,2,270,2,31.8,0.763
2025-05,U03,Sindicato Nacional Minero Metalúrgico - Sec. 41,807,0,5,1,365,3,26.8,0.774
2025-05,U04,Sindicato de Trabajadores de la Industria Metalúrgica,398,0,2,1,200,2,31.9,0.778
2025-05,U05,No sindicalizado,0,0,1,0,0,1,44.7,0.742
2025-06,U01,Sindicato Nacional Minero Metalúrgico - Sec. 12,677,1,6,3,25,4,21.9,0.701
2025-06,U02,Sindicato Minero Independiente Durango,626,0,3,2,240,2,32.9,0.733
2025-06,U03,Sindicato Nacional Minero Metalúrgico - Sec. 41,795,0,5,1,335,3,29.5,0.688
2025-06,U04,Sindicato de Trabajadores de la Industria Metalúrgica,404,0,3,1,170,2,37.3,0.722
2025-06,U05,No sindicalizado,0,0,1,0,0,1,38.0,0.697
2025-07,U01,Sindicato Nacional Minero Metalúrgico - Sec. 12,712,1,5,3,360,4,20.8,0.791
2025-07,U02,Sindicato Minero Independiente Durango,596,0,2,0,210,2,33.7,0.768
2025-07,U03,Sindicato Nacional Minero Metalúrgico - Sec. 41,728,0,5,4,305,3,25.6,0.725
2025-07,U04,Sindicato de Trabajadores de la Industria Metalúrgica,341,0,3,1,140,2,37.2,0.663
2025-07,U05,No sindicalizado,0,0,1,0,0,1,44.0,0.714
2025-08,U01,Sindicato Nacional Minero Metalúrgico - Sec. 12,706,1,7,4,330,4,19.5,0.674
2025-08,U02,Sindicato Minero Independiente Durango,657,0,4,2,180,2,31.3,0.658
2025-08,U03,Sindicato Nacional Minero Metalúrgico - Sec. 41,746,0,6,3,275,3,28.0,0.661
2025-08,U04,Sindicato de Trabajadores de la Industria Metalúrgica,358,0,3,2,110,2,34.4,0.651
2025-08,U05,No sindicalizado,0,0,1,0,0,1,41.3,0.74
2025-09,U01,Sindicato Nacional Minero Metalúrgico - Sec. 12,661,1,9,5,300,4,20.4,0.713
2025-09,U02,Sindicato Minero Independiente Durango,573,0,4,3,150,2,33.2,0.698
2025-09,U03,Sindicato Nacional Minero Metalúrgico - Sec. 41,679,0,5,3,245,3,29.6,0.744
2025-09,U04,Sindicato de Trabajadores de la Industria Metalúrgica,413,0,3,1,80,2,37.1,0.695
2025-09,U05,No sindicalizado,0,0,2,0,0,1,44.2,0.692
2025-10,U01,Sindicato Nacional Minero Metalúrgico - Sec. 12,710,1,6,2,270,4,20.4,0.738
2025-10,U02,Sindicato Minero Independiente Durango,669,0,2,0,120,2,35.4,0.759
2025-10,U03,Sindicato Nacional Minero Metalúrgico - Sec. 41,784,0,5,1,215,3,26.2,0.723
2025-10,U04,Sindicato de Trabajadores de la Industria Metalúrgica,398,0,4,2,50,2,34.0,0.704
2025-10,U05,No sindicalizado,0,0,2,1,0,1,40.5,0.717
2025-11,U01,Sindicato Nacional Minero Metalúrgico - Sec. 12,615,0,8,3,240,4,19.3,0.689
2025-11,U02,Sindicato Minero Independiente Durango,591,0,4,1,90,2,31.7,0.775
2025-11,U03,Sindicato Nacional Minero Metalúrgico - Sec. 41,844,0,6,2,185,3,26.4,0.655
2025-11,U04,Sindicato de Trabajadores de la Industria Metalúrgica,368,0,4,3,20,2,32.3,0.664
2025-11,U05,No sindicalizado,0,0,1,0,0,1,36.7,0.738
2025-12,U01,Sindicato Nacional Minero Metalúrgico - Sec. 12,610,0,6,4,210,4,21.3,0.732
2025-12,U02,Sindicato Minero Independiente Durango,693,0,4,2,60,2,36.3,0.771
2025-12,U03,Sindicato Nacional Minero Metalúrgico - Sec. 41,768,0,6,4,155,3,27.2,0.776
2025-12,U04,Sindicato de Trabajadores de la Industria Metalúrgica,372,0,4,2,355,2,33.2,0.732
2025-12,U05,No sindicalizado,0,0,1,0,0,1,43.6,0.709
2026-01,U01,Sindicato Nacional Minero Metalúrgico - Sec. 12,700,0,8,3,180,4,22.2,0.7
2026-01,U02,Sindicato Minero Independiente Durango,655,0,3,1,30,2,36.4,0.731
2026-01,U03,Sindicato Nacional Minero Metalúrgico - Sec. 41,830,0,6,3,125,3,27.0,0.649
2026-01,U04,Sindicato de Trabajadores de la Industria Metalúrgica,390,0,3,1,325,2,33.0,0.757
2026-01,U05,No sindicalizado,0,0,2,1,0,1,41.3,0.698
2026-02,U01,Sindicato Nacional Minero Metalúrgico - Sec. 12,734,1,9,3,150,4,19.6,0.735
2026-02,U02,Sindicato Minero Independiente Durango,667,0,3,1,365,2,35.3,0.782
2026-02,U03,Sindicato Nacional Minero Metalúrgico - Sec. 41,696,0,4,1,95,3,26.5,0.758
2026-02,U04,Sindicato de Trabajadores de la Industria Metalúrgica,405,1,3,2,295,2,30.8,0.653
2026-02,U05,No sindicalizado,0,0,2,0,0,1,40.8,0.677
2026-03,U01,Sindicato Nacional Minero Metalúrgico - Sec. 12,601,0,9,4,120,4,19.3,0.668
2026-03,U02,Sindicato Minero Independiente Durango,696,0,4,2,335,2,32.2,0.741
2026-03,U03,Sindicato Nacional Minero Metalúrgico - Sec. 41,822,1,4,2,65,3,28.7,0.752
2026-03,U04,Sindicato de Trabajadores de la Industria Metalúrgica,362,0,3,1,265,2,31.3,0.748
